Comment,Sentiment
"Boring....yes great novel about Latin American struggle, meaning of life.  .....bla bla bla ....",0
just leave that poor xenomorph alone. stop butchering that franchise.,0
Oh so its not optimus its just orion pax?,1
Ouroboros at the beginning.,1
Best birthday present ever. I cant wait for July,2
In the last 90 seconds Mr. Glass opens the back door exit for him :exploding_head:.......:grinning_face_with_sweat:,1
His daughter not him is the killer,1
looking forward to this Cien Años de Soledad . Wondering how the screen writer will condense this long novel.  My expectations are high,2
So they have decided to ruin this masterpiece as well!,0
Im an english lit graduate and i made my thesis on this book 20 years agoo :flushed_face::flushed_face::flushed_face: i m excited to see this in one,2
Just kill all my childhood memories,0
We get about 25 of these Black dramas & biopics a year. When do we start getting Black led action movies?,1
Why is the film so grainy,0
You can always tell an A24 trailer without even looking at the title or description.,1
Filthy capitalist garbage. Shane on us,0
Midwest USA just west of Missouri river watching this stud :face_blowing_a_kiss: Actor glasses green eyes,1
Coleman Domingo + A24.  I am ready to cry in theaters. Hes such a great actor. this looks so great :),2
Why do we need to see this?! Protect your energy people. Look up LOOSH. Your energy is being used.,0
"Christ bless you, Im genuinely surprised they are keeping up the 3D movies",1
I love it this is so good,2
Need regional dub in India,1
"Love seeing Oscar nominees Paul Raci and Colman Domingo working together, maybe the latter has a another shot at a Best Actor nomination this year.",2
"Cant figure it out , is this a reboot?",1
The duct tape is for Medusas mouth. RIP Bill Paxton.,0
"what a letdown, wanted a live action, not some childish animation",0
Halle is actin!!!!!!!,2
How my boy strand end up behind bars,1
please dub The Good Bad mother My demon and Welcome to Samdal-ri hindi or English dubbing,1
After Michael Bay this trailer brings back my faith in Transformers movies:thumbs_up:,2
Jessica Henwick!! Lets go,2
Wasnt expecting this type of horror !  It looks great! Will be seeing it,2
This is a remake of the Danish movie with the same title but McAvoys portrayal in this trailer is a whole other level uncomfortable.,2
"Ngl, if this was 2d animated in the same quality as the original, my butt would have been in that seat, but its just more emotionless cgi.",0
"Ohhh, scary ABBA",1
"Holy shit that was bloody awkward, well in James.",2
"Oh god, I just had a feeling that the daughter will be a vampire so he needs to feed her. It would be just what Shyamalan would do and shouldnt. It would make juxtaposition to her being innocent k-pop girl and give leeway to the father on murdering (like say just like in Let The Right One In).Just.. make the premise be what it is with witty moments to solve problems and then the ending can be messy if it ends there. It doesnt need to be morally ok or it doesnt need to feel good, it can, if everything just fits like the pieces should. I hope for Josh Hartnett it isnt classic good M. Night trailer and then a let down or just being on goofy side. Since Josh has that Nicholas Hoult thriving when they are shady character with charisma attached to it (and he would need with all intense and purposes to be able to con his way thru situations where the charisma comes in). Also Hartnett was a lot miscast in past to romantic comedy, you could see Just from Sin Citys first 1min that he would work Great in a shady character (Lucky Number Slevin was sooomewhat) but only after Black Mirror was truly seen.",1
"I really thought the movie was just gonna be about a dad trying to save his daughter that was caught between the killer. Didnt expect the dad to be the killer. Then I saw this is Shyamalans work :face_with_tears_of_joy: If he gave that part out, I wonder what else he has cooking up in the movie.",2
The one movie series Disney knows not to ruin,2
I hope Joker appears in a episode or a small cameo,1
fuck i regret missing the advance preview screening i got invited to for this,2
Either really good or really bad,1
"Love that Hunter is getting more roles, she deserves it",2
I bet its like SOA! All these so called badasses but cant shoot a gun properly and always miss the target!,1
"Cool film school movie,  bro.",1
this trailer does NOT look like the Jodie Comer Oscar vehicle they promised the movie is.,0
I am excited for this. But Collin Farrell is trying to imitate James Gandolfinis Tony Soprano,2
Halle Berry? YES!!,2
 Is that Pym Falls from Old Man Logan???,1
"Ehhhh, I guess it looks entertaining. Ive been really excited for this but the trailer was disappointing for me. Looks very generic compared to the first. Not a fan of the male lead at all, jokes are already feeling dull, and the CGI looks about the same as the first if not worse. Im sure itll be fun but thats about it. A typical hollywood cash grab trying to reel people in with nostalgia. Not impressed one bit but ill be seeing it no doubt",0
 संस्कृत (Sanskrit language) :India:.    ......but How??????,1
Hangman! He is that good!,2
Actually looks pretty good.,2
Im in!!,2
Looks sweet. We shall see how it turns out.,2
Coleman Domingo feels like an actor that was held back from opportunity for a bit too long. We were missing out on his talent for far too long. Its wonderful seeing him thrive now. He seems to have so much to give to us as an audience. Im so excited for this project and whatever else he wants to put his energy into.,2
Sure to not be scared by this crap :face_with_tears_of_joy::man_facepalming:,0
30 years ago all movies are about the heroes :crying_face:,1
A movie about subhuman trash on motorbikes.,0
M Night in a nutshell: what you see is what you get - then the movie ends. Jokes on you (us).,0
Nope.Ill pass.Im too chicken for this shit!,0
Amazing ! MCavoy playing another 2 face personality brilliant.,2
"I cant believe it, transformers one is out, the trailer looks amazing, the animation, cast, story, humour, characters, music",2
Eric-tion,1
this might be ok.........not sure if i can sit through it if there is going to be too much of the daughters caterwauling.,0
I cant wait to take my son to see it and sneak in snacks lmao,2
"Ah, i remember when Austin Butler was an extra in Neds Declassified scgool survival guide, glad hes doing good!!",2
I hope this is not one those M.Night movies... you know what i mean:relieved_face:,0
To be honest if the bus boy knew its a trap then everyone would have known,0
"Thats not called a twist, thats the premise, it shows how old and repetitive the good guy is the bad guy all along trope is the fact that we are calling it a twist",1
This looks incredible. LOVE the 80s Giallo aesthetic!,2
Lets hope this movie will be great and wanted to know how the event will play out and gets to the point where Optimus Prime and Megatron become enemies.,2
Universal going to need to change their name to Have no talent so just doing remakes and reboots...A little long but would rather type that shit out then waste my time on seeing more shit devoid of any soul because there is no originality in it...just fucking content for the sake of content to make money.,0
I probably just watched this 10 times :face_with_tears_of_joy:....11,2
"You played the game, now watch the movie!",1
Just finished binge watching!! Loved it!!:red_heart::fire:,2
Cam and Gordo married?!?!,1
Looks like Orion Pax is happier than Optimus Prime.,1
How much you wanna bet at some point AI James Earl Jones is gonna speak,1
oh shes taking Im from the black community roles again ? how nice,2
"Thats how you put a fucking preview together.  BRAVO, TEAM.  :black_heart:",2
"no please, thank you",0
No one does suspens and thrillers like Halle,2
"Finally a suspense movie premise that doesnt feel like a rehash of something already done, unless someone did use this premise before and its never crossed my path.",2
you really expect me to believe a 15 year old girl is going to defeat a Xenomorph???,0
"This would be great... If it was animated like the original movie, Disney is not animated anymore?",0
Doesnt look bad! SN: This is one of the few times Hunter has been clockable.,2
"Other than the title sequence made by a 12 yr old, series looks fire",2
"Take your time guys, the book is loaded with simbols and its an amazing experience to read and re read. Hope to see a great work from all you guys in Netflix, actors and support team. This is realismo mágico colombiano, and I would love to see you adapt also Juan Rulfos Pedro Páramo",2
cant wait,2
"A 24 has gained quite the positive reputation for quality, in a very short period of time. With all of the big movie makers controlled by corporations right now, its good that we have a production company that still makes art.Dont ever sell out, A24. We still need cinema, and you provide it to us.",2
"I love movies like this, cant wait to see it :double_exclamation_mark:",2
"I gotta be honest, having done half of my adult life in state and federal prison, I really cant picture doing plays in prison. Making plays yes , doing them not so much. It must take a weird kind of ballsiness.",1
"Looks really sick, and Colin is killing it as Penguin like he did in The Batman.",2
"Interesting take, but i kinda wished it was more, grotesque, considering megatronus was a slave, and orion was a librarian in the archives...",0
Coleman really growing into one of the best actors of this time. This trailer gave me chills.,2
The Danish :Denmark: original is  amazing!,2
I :clapping_hands_dark_skin_tone: Need :clapping_hands_dark_skin_tone: This :face_holding_back_tears:,2
 My first thought...Conan OBrien,1
"Teenage Mechanism Neurorobotics Transformers, Teenage Mechanism Neurorobotics Transformers, Teenage Mechanism Neurorobotics Transformers Matrix Power!Heroes with the all sparksTheyre the worlds most fearsome fighting team (Were really hip!) Theyre heroes with the energons and theyre keen (Hey - get a grip!) When the evil  Quintessons attack. These Transformers dont cut them no slackTeenage Mechanism Neurorobotics Transformers, Teenage Mechanism Neurorobotics Transformers Alpha Trion taught them to be Neurorobotics Teens (Hes a radical bot!)Optimus leads, Arcee does machines (Thats a fact, jack!)Megatron is cool but crude (Gimmie a break!) Bumblebee is a party dude (Party!)Teenage Mechanism Neurorobotics TransformersTeenage Mechanism Neurorobotics TransformersTeenage Mechanism Neurorobotics TransformersHeroes with the all sparksMatrix Power!",1
Exciting!!! Thank you!!!!!!,2
Ooh! this looks pretty and nice imo,2
Havent seen Halle  Berry since X-Men. And this looks pretty wild. Reminds me of Birdbox.,2
"Tom Hardy is getting fond of funny little accents between this, Capone, Legend, and Bane in The Dark Knight Rises",2
"Matt Reeves, the Batman was definitely an amazing movie but when the end credits came on screen it made me want to see more of this fantastic universe. Fortunately with this show were going to get that. Also, the show is about The Penguin and its got a Sopranos/Godfather theme, which is very fitting for the series.",2
"Looks very promising, trailer alone is scary af",2
M. Night Shyamalan keeping it original as usual. Cant wait for this!,2
Thanks....I hate It...,0
a scottish dude acting like a guinea. Quite impressive hes got all the mannerism on point,2
Dan Stevens hasnt played a normal character since he left Downton Abbey. Bro loves playing weirdos.,1
"Lackluster everything, but especially the voice acting",0
R.I.P. Bill Paxton :dove:,1
"Now this is an Alien movie, for the making. Classic claustrophobic ship, scare zones, chest bursting! Love the fear on the leads face, at the end with the pulse rifle. Classic!",2
HALLE BERRY I LOVE YOU,2
I love when a movie gives away the whole thing in the trailer!  Thanks guys.  Glad I saw the original first.,2
Glen Powell seems to be busy these days..Love him;),2
Thor and black widow back together again and this time with phantos,1
The fact that it seems Cybertron is going to be portrayed as a living ecosystem makes me so happy,2
"Im sorry that he died, but that was a long time ago. You gotta move on. Stop living in the past, and look what you got right in front of youR.I.P The Extreme",0
this looks gay as fuk,0
HBO telling Apple TV to sit down with HOTD and Penguin trailers. :goat:,2
Is it just me or the blood looks so fake :face_with_tears_of_joy:,0
"As long as Netflix is involved, the show is gonna suck",0
 they are back:face_holding_back_tears:,2
Coleman is in his bag. He crushes every role.,2
I feel like they gave us the whole movie lol,0
Were just missing JoJo - Karma as the opening to completely make a mockery of the audiences intellect.,0
This looks dumber then the firstI live in tornado alley 63 years  ive never seen a tornado We have the best coverage to keep you safe Best weather strom chasers,0
Ok what was this? literally the same things from the first trailer,0
"will not and can not watch it - mainly because of the suffering of the kids, its sick",0
Why. No.,1
This was disturbing… James McAvoy is SO good!!! :smiling_face_with_smiling_eyes::cherry_blossom:,2
Im here all day for James,2
Read the book long time ago. Not sure I got it:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,0
What??,1
Love James McAvoy.,2
He dies in the second one.,1
Come on Hollywood make something new instead of regurgitating great movies,0
This trailer gives me serious Alien: Isolation vibes. It looks really good though. I cant wait to see this.,2
Were so back,2
Ill pass. Looks like a piece of turd.,0
"Looks like an improvement on Covenants Nihilistic Arthouse Wankfest already!I mean, sure, you cant top Alien or Aliens, but the vintage throwback approach looks promising.",2
You know whats worst than a bad movie ?A bad movie AND a bad concert.,0
This looks amazing but theres one gripe I always have and its villains who glitch in their movement. Hopefully thats just a trailer edit and not in the film. But theres nothing less scary to me than someone who is glitching around with the big open mouth. Reality is way more frightening.,2
"If theres anything tornado movies need, its diversity.",1
This trailer belongs to Wolverine,1
That looks so good,2
S.O.S. ohh this hit my heart!!!!A father doing everything he can to find his little boy :broken_heart::broken_heart::broken_heart:,2
greatest magic ever written:smiling_face_with_heart-eyes:,2
Peak Fiction :fire:,2
"The one book i interpret differently each time, what a masterpiece.",2
Interesting. Im definitely going to check this out :oncoming_fist_dark_skin_tone:,2
The real twisters are the ones we made along the way.,1
" for a second,  I thought he said ...pronound they/them",1
Thats how a trailer should be! I wouldnt mind not seeing another til the movie comes out. Looking at you Crow Reboot!,2
It appears to be a remake ((with a modernist contemporary perspective)),1
Trailer saying too much is a plague.,0
"Wow, this is quite a complex and interesting book...I had no idea it would ever be adapted into series...by Netflix:melting_face:",2
insane casts,2
Wanna build a snow man !! :snowman::snowflake:,1
"11 mil view in just 2 days? but only 50k likes and 4.5k comments, hmmmmmm very suspicious, i think warner bros is view botting",0
Whats the song called? Sounds super familiar,2
Anyone know when its coming out,1
Nice.. I didnt think I would ever see something like THIS come out of Hollywood again... Theres hope yet...,2
"Im so happy one of our girl is winning. Go hunter, make us proud.",2
well...diversity is here to stay isnt it? now I cant unsee it... remember the old days..theres was just....people,1
Thank you Netflix for making this.. Hope the storyline remains true to the novel..,2
Whats upwith her voice ...,1
Cant wait for Sonic 3,1
Life can be pretty awesome once in a while!,2
The Score sounds fantastic!,2
"Only Deadpool would have Madonnas like a Prayer as song in his movie. :face_with_tears_of_joy: of course it had to be The part where shes saying  Im down on my knees, I wanna  take you there. :face_with_tears_of_joy: Deadpool is the best!",2
If the movie feels like the trailer then Im going to see it in a theater. I havent had any reason to go to one in a long time.,2
"There is actually an original Danish version of this movie, and its brutal, this is literally a remake of that movie. In the end they stone the couple, cut the kids tongue out and kidnap it. That is not their son. Theyve been doing this to other families:crying_face:",0
James McAvoy is swole AF!,2
"Transformers movie that focused on the transformers without humans ruining all epic scenes is like a dream come true:sparkles:Dang, I hope Monsterverse Godzilla did the same!",2
Wtf! I will stick with Twister. There is no need to see this version,0
Desperate for this,2
BRAVO FOR HIM. NOW I WOULD LOVES TO SEE HIM IN THIS.HES A GREAT ACTOR.I REALLY WANTA SEE HIM SPREAD HIS WING BEYOND THE MARVEL UNIVERSE.,2
"Reminds me so much of alien isolation like the retro futurism from isolation and the original films, the zero G scene, the tons of facehuggers, the flare throw, taking place on a space station and the environments etc., are all reminiscent of isolation. This is awesome!!",2
i hope this can live up to the original,2
Thank you marvel,2
this looks amazing,2
German accent on a villian takes it up a notch,1
 Im out,0
Colman Domingo has become one of my favorite actor ever since Euphoria  this man has been given some major good roles. Definitely adding this of my list for the movies I want to see this year loved me some good A24.,2
It seems like a great movie to watch!!,2
Its time to admit Disneys best years are long gone. No theyre just ruining their legacy trying to stay relevant.,0
"Love the music used for this trailer, where  can I find it please, I know its SOS by Abba but Im after this specific version.",2
Victor what have to you,1
I hope Halle berry has given tremendous performance..,2
I am intrigued. I hope its as good as the comments are saying........,2
Love Tom Hardy but these accents he always does are atrocious :rolling_on_the_floor_laughing:,0
Hunter is a man.,1
Hope its not a Ripley rip off,0
Ima watch just for Colin dude is a great actor,2
That language in the beginning was Sanskrit! The mother of all Indian languages and the inspiration behind many European languages.,1
This also happened to my buddy Eric,1
I dont hate this?  The humor seems a bit cringe but its not offensive or anything.,1
Josh Harnett was great on the recent Black Mirror season,2
oh mother mother mother,1
I wonder how theyll handle the pedophile part,1
Benedict all the way,2
why you gotta make me cry like that?:loudly_crying_face:,2
I can not see this being bad at all lol and im absurdly skeptical of almost everything. Please dont fail us.,2
"I clicked on this, no really interested in seeing the movie at first. When I saw Dan Stevens, I immediately knew I would be watching this. Cant wait now!",2
This is crazy :face_with_open_mouth::face_screaming_in_fear:,2
OH mY GoD iTs WOkE tHeY Put A WoMan LeAd,1
"Never understood this book. All the magical realism stuff, and the dramarama happening in this town of Macondo... all over my head. Maybe it helps to be Latin American to appreciate it.",0
Hopefully they will provide a new song at the beginning. And new songs in the movie.,1
"Fill it, shut it,  forget it.. go bonkers",0
This is awesome!!!Now onto Charlies channel for breakdowns:smiling_face_with_smiling_eyes:,2
"wow, another souless ripoff of a movie from the past, without an creative energy or attempt to be original.  You wonder why no one goes to the movies anymore?  because no one is actually making movies.",0
"Liefelds Just Feet business?  I usually find Deadpool stuff obnoxious, but thats a pretty good fourth wall break.",2
Thought this was an Ian Garry documentary at 1st:face_with_tears_of_joy:,1
The whole operation is run by Tony Lezuto… :),1
Marton Csokas is pretty awesome too. Hope his role is more pivotal than what the trailer alludes to. Im sold either way!,2
Is that Dr.strange?,1
Twist is hes not the villain,1
Sydney Sweeney :handshake_light_skin_tone: Hunter Schafer Being in horror movies distributed by NEON in 2024,1
This look good :thumbs_up_medium-dark_skin_tone: but everything be looking good then when I seee it on Netflix I be like this is bad 80% :smiling_face_with_smiling_eyes:,2
The fact that Jodie can portray every role with ease… its amazing. And the accent.. wow.. anyone who has heard an audio of the woman she plays would understand how identical their accents are. Go get them tiger:face_with_tongue::red_heart:,2
I am dying to see this movie !!!!!!! My most anticipated movie of 2024!! This and Kevin Costners new western!,2
 White Girl Interrupted That old lady is my favorite,2
Based on a true story.,1
Im calling it now. Josh IS the killer.,1
Coulda did incredibles 3 smh,0
"First the Coach, now this. Farrell has to be recognized as one of the elite talents in Hollywood… Even if it isnt saying much during this woke era we are forced to endure.",2
What a trailer! :two_hearts::fire:,2
Crap,0
"Plot twist, he gets away…",1
This shit has been on IMDb for like 10 years as untitled Tom Hardy biker project. And its finally here.,1
Can we talk about that score????? :red_heart:,2
I definitely want to see it! The concept sounds wild!,2
I cant wait to see this movie. After all my favorite actor is in it. Id see anything he is in,2
SOLVED:  THE BUTCHER is the flamboyant dancer [right-side of Lady Raven],1
Lets gooo looks exciting!,2
I was in this movie,1
Dances in joy*,2
THIS FILM IS A COMPLETE RIP OFF - THE SAME TITLED FILM Directed by Christian Tafdrup!! Which is absolutely BRILLIANT! on shudder. I think it came out a year ago. GO WATCH THE ORIGINAL! Its SUPER,0
Oh my goodness that proboscis tease,2
Plot twist: Josh has an identical twin!,1
Tom Hardy after seeing John Wick movie..... ? Usual Revange thow..,1
How looooooong is it going to be?! Sheesh.... . Hehehe. Great book.,2
Im convinced there is no genre or character where Mr. Domingo would disappoint. NONE,2
A24 has nothing but hits! I mean they dont miss! :woman_gesturing_NO_medium-dark_skin_tone::woman_shrugging_medium-dark_skin_tone::hundred_points:,2
Its been a while since we got Aliens,1
I thought Lee van Cleef was long dead...?,1
dont think this typical Netflix look would do justice to the novel. I have always imagined OYOS being shot on analog film.,0
Imagine a Twister movie with a Hans Zimmer score!,1
"This is so refreshing. I saw two women, no blacks, and especially no black women, just mostly white males in this trailer...its like I saw a unicorn.:face_with_tears_of_joy:.",2
I think AB did some favors in the industry to make it there. Its like Hollywood telling us who the next famous actor is. Tom Hardy is the goat tho,2
A must watch,2
"Anyway, go see Sonic the Hedgehog 3 in theaters December 20th, 2024 that film is not yet rated.",1
Im definitely watching this it looks great and absolutely thrilling Hunter Schafer and Dan Stevens you both are legends in this film,2
I was sooo close to being an extra in this movie. Since the original that got me into storm chasing as a teenager. So happy to see severe weather back on the big screen :party_popper:,2
"I want more of loki series, and Marvel this is what I longing for",2
That Feige said is off limits :face_with_tears_of_joy:,2
Kidding season 3? but why did they recast jim? :confused_face:,0
Vincent the Father is a total Loser in this series. He really disgusts me! :enraged_face::face_with_symbols_on_mouth:,0
"In the right charcter and right voice, Tom Hardy can be scary as hell!",1
Looks pretty cool! But man it needs a 4K version! Gonna watch this on my big screen TV later and blast it through my sound system! Ya gotta see this big!!!!,2
SheeeeeesssshhhThats looking kinda fresh doe ngl frfr no kizzy,2
Alien Isolation was as good as it gets.,2
"This feels exactly like alien isolation, wich is great",2
"It actually looks scary, hmmm :thinking_face:",2
"Same vibes as the original,   it can go both ways, good or bad, depending on the story in my opinion. I hope it will be somewhat coherent with the last two movies, primarily by fixing some of the plot holes..",2
Feels like an A24 production at the beginning,1
Why not pick up from where Prometheus left?,0
Please put mcavoy and hartnett in a movie together.,1
chat is this real,1
"You did your thing, beloved. :smiling_face_with_tear:",2
"Ok, it looks not too shaby.",2
Some of this was filmed less than 10 min from my house lol,1
Production value looks good... at least on this trailer. But I have been duped before... cough Ahsoka,2
Shout out to Will Oldham  ~;^\~  \m/   !,2
"I wish they continue the last twos story, after The Covenant.",0
finally :red_heart:,2
"One of the craziest, interesting book Ive ever read. The story was absolutely ridiculous, but you just can stop reading it — you buy into the whole nonsense of the story. So far this trailer looks promising  :crossed_fingers:",2
How they are paying their bills though??,1
I really want this version of penguin to have his multi-purpose umbrella :beaming_face_with_smiling_eyes:,2
CUCKOOLD,1
Glaucomfleckens Neurologist has been Benedict Cumberbatch all along?,1
This is what the Transformers movies should have been like from the beginning,2
Goosebumps shear chills up my spine,2
The book is awful. A confusing mess. Could make an interesting series though,1
We need lore not jump scares.,0
"So, it is a goofy comedy? I was hoping for something more like the War for Cybertron video game. I will still watch it, but I hope they do not ruin it like they did with that Teen Age Mutant Nija Turtle movie that came out last year. That was terrible.",2
Way to bury the lead,0
So he is THE BUTCHER?,1
"I feel like these trailers shows waaaaay too much. Had to stop it after the 2 minutes mark, or else I feel like Im watching the whole damn thing!",0
"This dude: Im not giving up on our boy! Im going to dress up as a monster he drew to do it!His wife: :neutral_face:Their boy, locked away somewhere without a TV anyway: :face_with_crossed-out_eyes:",1
The black dude is involved.,1
"Thatd be cool if, in the end, aliens show up.",2
 she got a point =))) its almost like a motive behind his line =)))) like what is he implying =))),2
"I have been wondering whether this book was ever made into a movie and I have been thinking that it would have to be a series or a very long movie. I have been thinking about how difficult it would be to adapt well. After a failed attempt, I am reading it in Spanish right now. I am not a native speaker. I´m level B2, so it´s very difficult for me. I read 1 chapter per month. I am on chapter 16, so I have been reading it for 16 months now. I am in a book club with 3 other people and we discuss it. One has degrees in Latin American and Spanish literature (as do I), but he explains the book. I did my undergrad thesis on Chronicle of a Death Foretold (Crónica de una muerte anunciada) by Márquez. That´s when I fell in love with the author. My heard jumped with excitement when I saw the trailer. It almost brought me to tears! I can´t wait for it to debut. I will watch it in Spanish with Spanish subtitles to  help me improve my language skills. This is an important book for everyone to read because it explores the human condition and the history of Latin America through the microcosm of the fictional Macondo.",1
Looks like a greatest hits redux to me. Blecch.,0
Thank you Netflix :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:,2
R.I.P Bill Paxton and Philip Seymour Hoffman,1
I wonder if there are going to be any flashbacks to when the husband and wife met there story is that they met at a art college. And I found out that Benedict cumberbatch has a stunt double in this,1
This is so awesome,2
 This will be the most rewatched part of the teaser.,2
To say Netflix will be under pressure to not f--k this up would be a massive understatement.,0
Cant believe they used actual footage of a Tesla with autopilot engaged @,1
Finally a trailer that doesnt start with TRAILER. STARTS. NOW. and big booming sounds and flashing. As if I needed reminding of what I clicked on two seconds ago. So insultingly dumb.,2
This is a scary movie in a long time. This guys McAvoy doesnt disapoint.,0
I dont know if I have the strenght to see this one. I just dont know.,1
That rope is your life line never let it go,1
"i think Comic Book movies are lame, I just cant believe thats Colin Farrell lol",0
"Nothing scares me anymore, except maybe a republican rally.",1
That last scene made me literally nauseous. Im not watching this movie. Probably a great horror. But too much for me.,0
"They got the cigar, whats only left is the monocle, and that would be the Penguin, the only and one Oswald Cobblepot, and Colin would be lto the Penguin what Heath Ledger is to the Joker",2
Rex Calabrese is Selina Kyle aka the Catwomans father,1
"Finally, Wolverine we deserved. what took you so long to wear your only suit.",2
Its time to see more James McAvoy playing some military movies as a hero please. He has the build and the look to play special forces.,2
"Its a blessing for the TRANSFORMERS PRIME Fans, All TFP fans already know about the most of the characters and it would be fun to watch them back again with another storyline.",2
Making the world a brighter place.,1
Tom Hardy is one hell of actor!,2
Halle looking scary lol on some gothica stuff.,1
"So, This is Transformers mixed with X-Men: First Class, Ninja Turtles and Ferris Bueller-like Teenage Comedy.IM IN!!!",2
The plot itself is very intriguing but having Benedict involved takes it to a different level. Definitely will be watching it,2
Whos Chris Pratt playing?,1
"I hope it is not the same movie, but with new actors...",1
"Will it tell the origin of aliens, like where they came from?",1
Another woke series from netflix. I am sick of this brainwashing ungodly nonsense. Netflix getting cancelled.,0
Looks fine except for the main character pretending to be female.,0
This actually looks really good.,2
Looks lame.. same premise as part 1.. What ever happened to originality Im Hollywood?:crying_face:,0
"Nope. When that boy opened his mouth, I went tharn and stopped the preview",0
why trash video quality?,0
It looks very much like Twister but with a less engaging and charming cast to pull it through the innate stupidity of the concept.They could make more money remastering Twister for Imax and releasing that for a couple of weeks.This is going to tank HARD,0
This one is going to make me ugly cry. Im there.,2
Ive already seen this movie and Im not sure how. I assume this is a remake.,1
Oh yeah this is a day one :index_pointing_up_medium-dark_skin_tone:,2
Was that ant mans suit and Dr Stranges portal they jumped through? I think its all coming to convergence point in this movie,1
Lets go cant wait :red_heart::face_with_tears_of_joy::party_popper::crying_face::face_with_open_mouth::grinning_face_with_sweat:,2
"At Halles age, she really has no business still being the sexiest woman on the planet. But here we are :man_shrugging:",2
This is similar to the movie Tethered,1
Aw shit. Here we go again,0
Really interesting trailer,2
Netflix out to ruin another great masterpiece,0
"What sort of dumbarse puts a stock truck in the way of a Twister?? FFS, at least hire the T.I.V.2 from Sean Casey!",0
"I truly truly HOPE that this movie will convey the atmosphere of the ORIGINAL movie Alien (1979) and NOT any of the sequels. I want something that portrays the Alien as and incredibly creepy and horrifying monster of the dark, just like the first movie or Alien Isolation did, and NOT some all-out action shooter movie..",1
I havent seen this guy since that vanpire movie and now after he was in Oppenhemier he is getting more credit  ....,1
Who asked for this,0
Aziz bhai laughing in corner:face_with_tears_of_joy:Hail sccopcast:moai:,2
How is it possible that CGI in 2024 looks worse than 1998,0
Deadpool finally have a regen buddy,1
"Wow, another comic book movie.  Im thrilled beyond words, really...",2
Wtf is this even about? It looks Great but i have no clue whatsoever,2
"How are they eeeeeever going to do this? There are so many storylines in the book and things go so rapid, very curious how it will translate to film",1
Should have made a movie about scar this movie will unfortunately flop :grinning_face_with_sweat:,0
Coleman Domingo Best Actor 2025 Oscars. Book it,2
Look Great,2
Am I tripping or is that X-23 from X-Men 2 and Azazel from X-Men First Class?! @,1
It was the Dad.,1
I hope its a good movie because anytime a trailer comes out and it shows you a bit of the movie its always amazing!!,2
"Well, theyve definitely established the right look and the proper tone. Gotta give them that much.",2
Im not supporting this gay actor.,0
I think Josh is going to be great in this.,2
The vendor knows this big police ambush LOLOLOLOLOLOLOLLOL Ill pass,0
"This copy of the first Alien yes, but the 3rd film in Scotts trilogy no?You people are weird.",0
"Finally.  I mean, Josh Hartnett basically auditioned for this role back in Sin City 1.",2
"Feel like M. Knight is on a redemption path lately, definitely will be there for this one! Its giving You S1 a bit.",2
"The change away from iconic voices, or at least just Optimuss voice, ruins it for me. Just looks dumb. But I guess its for kids, so whatever.",0
"Are there any black, transgenders body positive in actors  in the cast?",1
"... Why? Twister didnt need a sequel remake or whatever, just leave it there ffs.",0
"This movie doesnt look that good, but James MacAvoy looks good with a dad bod. (Just about the only guy who can pull it off)",0
Please read the book.,1
Skeptical,1
I really liked minari and i hope this be a great movie. Maybe even a contender for best picture,2
A gripping story of how Qui-gon Jin taught a lion how to project his force ghost.,1
Wow... Dude Pride Rock!,1
Thus begins the LKCU (Lion King Cinematic Universe),1
"Well thats not cannon (even as a post created prequel), but it looks entertaining.",2
"Enjoyed Twister, but it was a silly Hollywood fantasy. Theyre going back to the well, hopefully they get a cast that can make it as amusing as the last one. Tornadoes are no joke. Grew up in Tornado Alley. So did Paxton, he had the background to play it funny but serious. They shoulda got Pitt. He knows it too.",2
Shouldve let the shoulder pads on,1
 The saviours of the MCU are here :fire::fire:,2
"I keep telling myself I need to read this book, but Im a sci-fi horror or true event survival guy.",1
"Someone needs to do a metal cover of SOS by Abba.  Its years before my time, but it would work.",2
National Geographic?,1
Whats the name of the song at the beginning?,1
This was an epic series. Definitely enjoyed the script.,2
Dan Stevens F*n HOT asf ..specially in that movie  GUESS,2
"The book is one of the best pieces of art I have ever read, hopefully they do justice to it..",2
Well Ridley Scott is part of so it may be worth a watch,2
" what an execution wow !!! I see more horror films stepping up the game ,looking promising!",2
Marvel is feeling the heat,2
Book still on my shelf. After all these years. May need to read it again now. :smiling_face_with_smiling_eyes:,2
I love Benedict Cumberbatch but this is not for me. No thank you,0
So hes literally just playing Sherlock Holmes again but as a father looking for his son... lol. A shame hell never play Sherlock again.,1
Garcia Marquez didnt want his book turned into a movie or series. Netflix is worse than any cartel.,0
Damn what a trailer :crying_face::crying_face:,2
"James McAvoy looks like hes well & truly Ripped in this movie! Couple of pretty decent Arm Cannons & one hellve Six Pack goin on there as well! Oh wow, I gots me a bit of a sweat on now, phew! :kissing_face::dashing_away: Nope, I actually just melted altogether instead. :melting_face: So, less of a drippy me & more like a puddle of me!  Movie looks quite good too! :grinning_face_with_sweat:",2
This movie already looks shitty,0
I was just hoping and praying it wasnt an m night shamala movie I hate his movies,0
Halle Berry Halle Berry Halle Berry Halle Berry She fine,2
